feature,importance
loudness,0.7554295888891878
energy,0.47225882578542294
acousticness,0.367094753991616
instrumentalness,0.3495310787365064
duration_ms,0.337351968024756
valence,0.33156312782694186
danceability,0.28933507177908063
tempo,0.2328097904240182
speechiness,0.22736674917523175
liveness,0.1796139881847622
